customer_id,age,gender,region,marital_status,policy_tenure,policy_type,monthly_premium,num_claims,satisfaction_score,complaints_filed,last_interaction_days,churn
1,56,Male,South,Married,7,Standard,74105,1,4,2,40,0
2,69,Female,North,Single,10,Standard,102305,3,2,0,72,1
3,46,Female,North,Married,6,Standard,72993,5,1,1,235,1
4,32,Male,East,Married,10,Standard,107681,5,3,2,247,0
5,60,Male,South,Divorced,4,Standard,118033,2,5,1,294,0
6,25,Female,West,Single,3,Basic,40027,0,3,2,247,0
7,38,Female,North,Divorced,9,Premium,97017,4,1,1,312,1
8,56,Female,East,Married,10,Basic,28354,3,3,0,34,0
9,36,Female,South,Single,4,Standard,58777,2,5,3,129,0
10,40,Female,North,Married,8,Standard,59966,2,2,3,10,1
11,28,Female,South,Divorced,1,Premium,26515,4,3,2,168,1
12,28,Female,South,Single,7,Basic,108698,3,4,3,272,0
13,41,Male,North,Divorced,6,Premium,13573,3,5,3,216,0
14,53,Female,North,Married,1,Standard,115410,0,5,2,240,0
15,57,Female,North,Married,4,Standard,53915,3,4,3,14,0
16,41,Male,South,Married,5,Premium,15060,5,1,1,90,1
17,20,Female,South,Single,8,Standard,139471,4,4,1,18,1
18,39,Female,East,Divorced,4,Basic,65421,3,1,1,340,1
19,19,Male,West,Divorced,3,Standard,55610,0,2,0,169,0
20,41,Female,South,Married,2,Standard,20933,2,1,1,56,1
21,61,Male,West,Divorced,4,Basic,82168,5,2,3,164,1
22,47,Male,North,Single,10,Standard,53898,3,2,3,152,1
23,55,Male,South,Married,4,Premium,15589,4,4,1,90,1
24,19,Male,East,Married,10,Premium,21612,3,2,0,285,1
25,38,Female,East,Married,5,Standard,57611,1,1,1,22,1
26,50,Male,West,Single,7,Basic,28888,0,3,0,267,0
27,29,Male,North,Married,9,Basic,29417,2,5,0,297,0
28,39,Female,West,Married,2,Premium,55440,1,5,1,246,0
29,61,Male,North,Married,5,Standard,21891,4,1,0,139,1
30,42,Male,East,Married,10,Basic,82131,3,3,3,52,1
31,66,Male,West,Divorced,9,Basic,72093,0,2,1,67,1
32,44,Male,East,Married,3,Premium,38557,5,1,3,85,1
33,59,Female,East,Single,1,Premium,121129,3,2,0,250,1
34,45,Male,North,Married,2,Basic,93817,3,4,2,331,1
35,33,Female,West,Married,6,Premium,12192,3,3,1,123,1
36,32,Female,West,Divorced,5,Basic,44946,5,5,2,202,0
37,64,Male,East,Married,1,Standard,59884,3,1,2,6,1
38,68,Male,East,Divorced,1,Premium,56360,0,5,2,337,1
39,61,Male,North,Single,4,Premium,73252,5,2,2,199,1
40,69,Male,South,Divorced,4,Standard,138651,5,2,3,224,1
41,20,Female,South,Married,6,Basic,51472,1,4,1,13,0
42,54,Female,East,Single,6,Basic,45455,4,2,3,6,1
43,68,Female,South,Married,10,Premium,38672,5,2,0,121,1
44,24,Male,South,Divorced,6,Basic,13756,1,5,1,45,0
45,38,Female,South,Single,1,Basic,116927,0,5,1,362,0
46,26,Male,South,Single,10,Standard,80030,4,1,3,26,1
47,56,Male,East,Divorced,9,Standard,68151,5,1,0,4,1
48,35,Male,South,Divorced,7,Standard,44047,2,2,2,293,1
49,21,Male,South,Single,7,Premium,143293,1,3,0,277,0
50,42,Male,North,Single,7,Standard,15164,0,1,3,284,1
51,31,Female,East,Divorced,2,Standard,43622,0,2,3,210,1
52,67,Female,West,Married,2,Basic,45980,0,5,3,288,1
53,26,Male,West,Single,6,Standard,129528,4,4,2,359,0
54,43,Female,North,Divorced,7,Premium,94688,3,5,1,181,1
55,19,Male,North,Married,3,Standard,88066,2,5,0,253,0
56,37,Male,East,Single,4,Premium,129947,4,4,0,282,0
57,45,Male,West,Single,3,Basic,98660,4,5,2,145,1
58,64,Female,South,Divorced,7,Basic,118115,5,1,3,116,1
59,24,Male,North,Married,7,Standard,43043,1,5,0,349,0
60,61,Male,West,Single,4,Basic,131886,2,4,1,30,0
61,25,Female,East,Married,7,Standard,87831,0,2,0,242,0
62,64,Female,South,Married,5,Basic,76250,4,2,3,5,1
63,52,Female,East,Single,1,Premium,76345,2,2,0,262,1
64,31,Male,North,Married,10,Basic,95898,1,4,3,106,0
65,34,Male,West,Single,4,Standard,141108,3,4,1,124,1
66,53,Female,West,Married,7,Standard,100034,2,1,2,326,1
67,67,Male,West,Single,2,Standard,103923,0,4,3,138,1
68,57,Female,West,Divorced,2,Premium,20273,4,2,3,106,1
69,21,Female,South,Single,1,Basic,137419,3,4,0,213,0
70,19,Male,South,Single,2,Standard,62460,1,3,2,300,0
71,23,Male,East,Single,10,Premium,120803,0,5,3,56,0
72,59,Female,South,Married,8,Premium,86939,3,1,0,132,1
73,21,Female,North,Divorced,8,Premium,24017,5,2,1,269,1
74,46,Female,North,Married,8,Basic,92901,5,2,2,122,1
75,35,Female,West,Married,1,Basic,123000,1,3,0,202,0
76,43,Male,North,Single,1,Basic,49215,0,1,2,208,1
77,61,Female,East,Married,10,Premium,22583,4,5,3,275,0
78,51,Female,South,Single,4,Basic,57025,1,1,0,90,1
79,27,Female,South,Divorced,6,Standard,67943,3,1,1,190,1
80,53,Male,South,Married,8,Premium,11511,0,2,1,265,1
81,31,Male,North,Married,2,Basic,92151,5,4,0,46,0
82,48,Female,South,Married,3,Premium,34225,5,5,0,312,0
83,65,Male,West,Single,6,Premium,39152,2,1,2,330,1
84,32,Male,West,Single,10,Basic,116053,0,3,0,40,0
85,25,Male,West,Married,4,Premium,76107,3,2,2,67,1
86,31,Female,North,Married,2,Basic,134387,3,4,3,113,1
87,40,Female,South,Divorced,7,Basic,70910,2,4,0,339,0
88,57,Male,North,Divorced,4,Basic,52530,3,2,3,62,1
89,38,Female,South,Divorced,8,Premium,88753,0,1,1,227,1
90,33,Female,East,Divorced,8,Premium,51999,5,2,2,174,1
91,62,Male,East,Divorced,7,Basic,16609,1,4,2,134,0
92,35,Male,North,Single,10,Premium,59322,5,4,1,285,1
93,64,Female,West,Divorced,9,Basic,15151,5,3,3,275,1
94,41,Male,North,Divorced,4,Standard,16406,0,3,2,114,0
95,43,Female,West,Married,7,Premium,72678,3,4,1,108,1
96,42,Female,South,Single,10,Premium,57062,2,3,1,143,0
97,62,Male,West,Divorced,10,Standard,121377,2,3,1,57,0
98,58,Female,West,Divorced,1,Standard,63830,4,3,0,294,0
99,46,Female,South,Divorced,4,Standard,23133,2,4,3,277,0
